id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
50904,Boutique hotel in Antwerp · ★5.0 · 1 bedroom · 1 bed · 1 private bath,234077,Karin,,Historisch Centrum,51.218575,4.398631,Hotel room,180,2,3,2022-05-15,0.03,4,241,0,
224682,Rental unit in Antwerpen · ★4.79 · 1 bedroom · 2 beds · 1 bath,1263933,Kristien,,Historisch Centrum,51.21906,4.39955,Entire home/apt,128,2,525,2023-09-20,3.72,2,331,99,
345959,Rental unit in Antwerp · ★4.81 · 2 bedrooms · 2 beds · 1 bath,1754396,Marleen,,Markgrave,51.2015,4.40004,Entire home/apt,65,3,92,2023-08-15,0.66,2,319,15,
363155,Rental unit in Antwerp · ★4.86 · 1 bedroom · 1 bed · 1.5 baths,1835458,Roos,,Amandus - Atheneum,51.22109,4.41812,Entire home/apt,80,6,30,2023-08-06,0.22,1,345,4,
366252,Rental unit in Antwerp · ★4.64 · 1 bedroom · 1 bed · 1.5 shared baths,1820186,Godelieve,,Borgerhout Intra Muros Noord,51.21602,4.43472,Private room,40,1,152,2023-08-14,1.09,2,129,29,
522693,Rental unit in Antwerp · 1 bedroom · 2 beds · 1 bath,2562294,Ahome,,Historisch Centrum,51.21943,4.39815,Entire home/apt,282,2,2,2017-10-27,0.02,1,0,0,
603545,Loft in Antwerp · ★4.81 · 1 bedroom · 1 bed · 1 bath,2987880,Cédric,,Harmonie,51.20819,4.40597,Entire home/apt,89,4,31,2023-09-10,0.24,1,295,6,
636664,Rental unit in Antwerp · ★4.54 · 2 bedrooms · 3 beds · 1 bath,462975,Els,,Borgerhout Intra Muros Noord,51.21749,4.43053,Entire home/apt,120,2,121,2023-08-25,0.90,1,324,20,
685049,Home in Antwerp · ★4.67 · 1 bedroom · 1 bed · 1 bath,3493319,Glenn,,Oud - Berchem,51.19382,4.41464,Private room,85,2,5,2020-02-24,0.04,2,95,0,
772842,Loft in Antwerp · ★4.43 · 1 bedroom · 1 bed · 1 bath,4050173,Daisy,,Linkeroever,51.21843,4.38422,Entire home/apt,198,2,75,2023-03-12,0.57,1,179,3,
778043,Rental unit in Antwerp · ★4.66 · 1 bedroom · 1 bed · 1 bath,1735092,Marc & Elizabeth,,Stadspark,51.20446,4.41337,Entire home/apt,81,2,84,2023-05-28,0.64,1,280,3,
791792,Loft in Antwerp · ★4.83 · 1 bedroom · 2 beds · 1 bath,3424990,Tim,,Zuid,51.20502,4.38874,Entire home/apt,90,4,6,2022-03-23,0.05,1,266,0,
813969,Rental unit in Antwerp · ★4.64 · 2 bedrooms · 3 beds · 1.5 baths,4277604,Sarah,,Sint-Andries,51.21347,4.39125,Entire home/apt,229,1,125,2023-08-19,1.24,3,4,24,
891884,Boutique hotel in Antwerp · ★5.0 · 1 bedroom · 1 bed · 1 private bath,234077,Karin,,Historisch Centrum,51.218575,4.398631,Hotel room,180,2,3,2022-05-10,0.06,4,335,0,
891907,Rental unit in Antwerp · ★5.0 · 1 bedroom · 1 bed · 1.5 baths,234077,Karin,,Historisch Centrum,51.218575,4.398631,Entire home/apt,211,2,22,2023-05-30,0.19,4,326,7,
959200,Rental unit in Antwerp · ★4.82 · 1 bedroom · 1 bed · 1.5 baths,4715596,Caroline & Klaas,,Borgerhout Intra Muros Noord,51.21531295776367,4.438202857971191,Entire home/apt,85,3,72,2023-08-13,0.60,3,151,5,
1050693,Rental unit in Antwerp · ★4.62 · 3 bedrooms · 5 beds · 1 bath,5446991,Magali,,Deurne Zuid West,51.20316,4.46015,Entire home/apt,77,1,26,2023-08-22,0.21,1,333,2,
1105318,Rental unit in Antwerp · ★4.47 · 1 bedroom · 2 beds · 1 bath,6068286,Frédéric,,Zuid,51.21147,4.40005,Entire home/apt,85,7,44,2023-05-18,0.35,4,275,7,
1172376,Rental unit in Antwerp · ★4.50 · 1 bedroom · 2 beds · 1 bath,6068286,Frédéric,,Zuid,51.21125,4.40108,Entire home/apt,81,3,23,2023-08-28,0.18,4,288,6,
1172507,Rental unit in Antwerp · ★4.33 · 1 bedroom · 1 bed · 1 bath,6068286,Frédéric,,Zuid,51.21174,4.39944,Entire home/apt,85,2,191,2023-08-02,1.57,4,257,4,
1184623,Loft in Antwerp · ★4.69 · 2 bedrooms · 2 beds · 3 baths,4865806,Tommie,,Eilandje,51.23006,4.40869,Entire home/apt,225,2,36,2023-05-30,0.30,2,9,2,
1227242,Boat in Antwerp · ★4.75 · 10 bedrooms · 20 beds · 2 shared baths,4193029,Jan,,Eilandje,51.22861,4.40386,Private room,66,1,57,2023-09-10,1.31,2,347,18,
1328770,Boat in Antwerp · ★4.49 · 11 bedrooms · 16 beds · 2 shared baths,4193029,Jan,,Eilandje,51.22868,4.40399,Private room,66,1,201,2023-09-17,1.62,2,322,24,
1444602,Rental unit in Antwerp · ★4.82 · 2 bedrooms · 2 beds · 1 bath,7755956,Sabien,,Zurenborg,51.20819,4.42707,Entire home/apt,80,5,18,2023-08-31,0.15,1,0,8,
1504952,Bed and breakfast in Antwerp · ★4.75 · 4 bedrooms · 6 beds · 4.5 baths,573329,Patricia,,Centraal Station,51.21775,4.42684,Private room,500,1,58,2023-09-15,0.47,1,294,2,
1577011,Rental unit in Antwerp · ★4.83 · 2 bedrooms · 2 beds · 1 bath,8382721,Rien,,Amandus - Atheneum,51.22054,4.42773,Entire home/apt,65,5,36,2023-07-20,0.30,1,188,1,
1808782,Loft in Antwerp · ★4.96 · 1 bedroom · 1 bed · 1 bath,9478810,Keith,,Sint-Andries,51.21232,4.39571,Entire home/apt,116,2,252,2023-08-26,2.12,1,169,14,
1856023,Townhouse in Antwerpen · ★4.64 · 1 bedroom · 1 bed · 1.5 baths,9686695,Caroline,,Eilandje,51.23144,4.4048,Entire home/apt,95,4,22,2023-01-02,0.27,2,320,1,
1897272,Loft in Antwerp · ★4.84 · 1 bedroom · 3 beds · 3 baths,9174116,Sascha,,Haringrode,51.20079,4.41933,Entire home/apt,270,2,67,2019-07-29,0.57,2,363,0,
1901179,Rental unit in Antwerp · ★4.65 · 2 bedrooms · 5 beds · 1 bath,4417826,Timur,,Amandus - Atheneum,51.22098,4.42542,Entire home/apt,69,1,544,2023-09-03,4.56,1,327,48,
2051988,Rental unit in Antwerpen · ★4.29 · 1 bedroom · 1 bed · 1 bath,10515379,Luc,,Zuid,51.20671,4.39387,Entire home/apt,55,1,17,2023-09-16,1.34,1,289,13,
2086302,Rental unit in Antwerp · ★4.67 · 1 bedroom · 1 bed · 1 bath,4218557,Anke,,Groenenhoek,51.19747,4.43859,Entire home/apt,49,45,12,2019-06-10,0.10,2,10,0,
2194840,Rental unit in Antwerpen · ★4.37 · 1 bedroom · 2 beds · 1 bath,11087865,Jay & Dirk,,Universiteitsbuurt,51.2234,4.41389,Entire home/apt,53,1,489,2021-09-19,4.16,5,171,0,
2230592,Loft in Antwerp · ★4.55 · 1 bedroom · 1 bed · 2.5 shared baths,3488121,Jan,,Deurne Noord,51.23082,4.44483,Private room,61,1,50,2023-05-20,0.43,2,73,5,
2282418,Condo in Antwerpen · ★4.49 · 1 bedroom · 2 beds · 1 bath,11633996,Samira,,Borgerhout Extra Muros,51.21264,4.45213,Entire home/apt,69,2,161,2023-09-10,1.59,1,260,38,
2448815,Loft in Antwerp · 1 bedroom · 1 bed · 1.5 baths,12523959,Tom,,Sint-Andries,51.21603012084961,4.399158954620361,Private room,209,1,0,,,4,284,0,
2543695,Rental unit in Antwerp · ★4.91 · 2 bedrooms · 2 beds · 1.5 baths,234077,Karin,,Historisch Centrum,51.218575,4.398631,Entire home/apt,218,2,32,2023-08-28,0.30,4,294,6,
